observation_location,time,pm2_5,pm10,ozone
"[37.44, 126.766]",2020-11-25 10:00:00,83.78,98.19,5.99
"[37.44, 126.766]",2020-11-25 11:00:00,80.2,94.26,9.21
"[37.44, 126.766]",2020-11-25 12:00:00,74.69,87.94,12.16
"[37.44, 126.766]",2020-11-25 13:00:00,42.88,50.19,25.03
"[37.44, 126.766]",2020-11-25 14:00:00,37.67,44.89,30.04
"[37.44, 126.766]",2020-11-25 15:00:00,36.03,43.91,31.83
"[37.44, 126.766]",2020-11-25 16:00:00,40.52,48.61,11.27
"[37.44, 126.766]",2020-11-25 17:00:00,43.34,51.34,1.11
"[37.44, 126.766]",2020-11-25 18:00:00,46.45,54.69,0.0
"[37.44, 126.766]",2020-11-25 19:00:00,57.25,67.53,0.0
"[37.44, 126.766]",2020-11-25 20:00:00,74.31,87.35,0.0
"[37.44, 126.766]",2020-11-25 21:00:00,95.68,110.69,0.0
"[37.44, 126.766]",2020-11-25 22:00:00,112.75,128.49,0.0
"[37.44, 126.766]",2020-11-25 23:00:00,123.23,140.26,0.0
"[37.44, 126.766]",2020-11-26 00:00:00,120.07,137.75,0.0
"[37.44, 126.766]",2020-11-26 01:00:00,99.64,116.88,0.0
"[37.44, 126.766]",2020-11-26 02:00:00,78.81,94.74,0.0
"[37.44, 126.766]",2020-11-26 03:00:00,69.25,83.37,0.0
"[37.44, 126.766]",2020-11-26 04:00:00,69.81,82.65,0.0
"[37.44, 126.766]",2020-11-26 05:00:00,75.92,88.37,0.0
"[37.44, 126.766]",2020-11-26 06:00:00,82.98,95.52,0.0
"[37.44, 126.766]",2020-11-26 07:00:00,91.3,104.97,0.0
"[37.44, 126.766]",2020-11-26 08:00:00,100.73,115.66,0.02
"[37.44, 126.766]",2020-11-26 09:00:00,108.96,125.04,1.27
"[37.44, 126.766]",2020-11-26 10:00:00,108.12,124.65,4.25
"[37.44, 126.766]",2020-11-26 11:00:00,110.58,127.8,6.88
"[37.44, 126.766]",2020-11-26 12:00:00,111.72,129.16,9.3
"[37.44, 126.766]",2020-11-26 13:00:00,57.19,65.92,25.39
"[37.44, 126.766]",2020-11-26 14:00:00,43.18,49.8,33.26
"[37.44, 126.766]",2020-11-26 15:00:00,41.89,48.61,30.4
"[37.44, 126.766]",2020-11-26 16:00:00,45.78,53.31,14.31
"[37.44, 126.766]",2020-11-26 17:00:00,50.46,58.97,1.63
"[37.44, 126.766]",2020-11-26 18:00:00,54.68,63.66,0.01
"[37.44, 126.766]",2020-11-26 19:00:00,62.1,71.89,0.0
"[37.44, 126.766]",2020-11-26 20:00:00,72.25,83.9,0.0
"[37.44, 126.766]",2020-11-26 21:00:00,81.16,94.79,0.0
"[37.44, 126.766]",2020-11-26 22:00:00,90.43,106.15,0.0
"[37.44, 126.766]",2020-11-26 23:00:00,95.21,112.1,0.0
"[37.44, 126.766]",2020-11-27 00:00:00,92.3,109.19,0.0
"[37.44, 126.766]",2020-11-27 01:00:00,85.5,102.15,0.0
"[37.44, 126.766]",2020-11-27 02:00:00,81.68,98.32,0.0
"[37.44, 126.766]",2020-11-27 03:00:00,82.47,99.1,0.0
"[37.44, 126.766]",2020-11-27 04:00:00,84.31,100.22,0.0
"[37.44, 126.766]",2020-11-27 05:00:00,83.98,99.18,0.0
